Order Number,Company Name,Customer ID,Total Order Amount,Order Amount
53615,Canyon Adventure Collective,1012679,184.17,5/24/24
53618,Swift Wheels Works,1020349,358.15,5/24/24
53621,Velvet Spokes Studio,1045110,289.23,5/24/24
53622,Rugged Gear Works,1053474,361.6,5/24/24
53631,Rugged Motion Outdoors,1056050,339.07,5/25/24
53633,Urban Motion Systems,1121659,320.11,5/25/24
53656,Urban Adventure Corp,1128931,1010.4,5/27/24
53662,Swift Spokes Systems,1144409,40.4,5/28/24
53664,Crimson Wheels LLC,1147937,671.16,5/28/24
53681,Wild Outfitters Group,1159124,757.8,5/29/24
53682,Trail Motion Group,1163295,623.95,5/29/24
53683,Urban Motion Studio,1168169,252.57,5/29/24
53685,Crimson Riders Systems,1177614,243.57,5/29/24
53688,Canyon Cycles LLC,1200842,1656,5/29/24
53690,Urban Outfitters Collective,1210684,1242,5/29/24
53693,Wild Motion Outdoors,1219441,7426.9,5/30/24
53694,Velvet Gear Group,1237289,1027.94,5/30/24
53697,Urban Trails Studio,1243917,2114.36,5/30/24
53700,Wild Trails Group,1248479,129.2,5/30/24
53701,Rugged Trails Systems,1251423,1597.68,5/30/24
53704,Urban Peaks Inc,1255019,257.11,5/30/24
53706,Rugged Gear Outdoors,1259739,257.22,5/30/24
53707,Iron Trails Outdoors,1317818,389.41,5/30/24
53711,Swift Wheels Systems,1354732,655.08,5/30/24
53712,Swift Riders Group,1378543,317.71,5/30/24
53714,Swift Cycles Collective,1385193,514.06,5/30/24
53716,Urban Gear Inc,1392195,701.35,5/30/24
53718,Wild Motion Studio,1398859,973.83,5/30/24
53719,Canyon Motion Collective,1398957,663.31,5/30/24
53720,Canyon Peaks Works,1402143,308.4,5/30/24
53721,Swift Outfitters Outdoors,1465820,536.37,5/30/24
53722,Canyon Peaks Systems,1504315,86.6,5/30/24
53725,Wild Trails Works,1545793,344.37,5/30/24
53726,Rugged Adventure Group,1586717,1942.84,5/30/24
53728,Trail Riders Collective,1647325,361.01,5/30/24
53729,Trail Riders Group,1652483,846,5/30/24
53730,Canyon Motion Systems,1668040,644.35,5/30/24
53733,Summit Adventure Collective,1668942,585.57,5/30/24
53734,Summit Adventure Collective,1668942,478.06,5/30/24
53735,Summit Adventure Collective,1668942,344.86,5/30/24
53738,Canyon Motion Studio,1675396,1677.6,5/30/24
53741,Crimson Motion Group,1682530,347.89,5/30/24
53742,Wild Motion Inc,1770232,3477.6,5/30/24
53743,Crimson Peaks Corp,1773606,617.11,5/30/24
53744,Canyon Cycles LLC,1200842,4718.4,5/30/24
53745,Urban Peaks Corp,1775034,329.54,5/31/24
53746,Canyon Wheels Outdoors,1783522,6963.75,5/31/24
53747,Rugged Spokes Co,1805094,29,5/31/24
53748,Canyon Spokes Works,1811506,300.82,5/31/24
53749,Iron Cycles Group,1831133,1587.83,5/31/24
53751,Urban Motion LLC,1834662,494.43,5/31/24
53755,Trail Gear Corp,1879198,799.2,5/31/24
53758,Velvet Motion Works,1887593,1919.3,6/1/24
53759,Summit Adventure Outdoors,1923765,437.97,6/1/24
53761,Velvet Trails Systems,1946734,511.87,6/1/24
53772,Trail Peaks Inc,1950283,496.41,6/2/24
53781,Crimson Adventure Collective,2000097,169.77,6/3/24
53783,Rugged Motion Corp,2050453,728.28,6/3/24
53786,Trail Trails Studio,2091219,268.47,6/3/24
53787,Summit Wheels LLC,2116369,140.4,6/3/24
53790,Crimson Wheels Co,2134801,332.37,6/3/24
53791,Wild Motion Inc,1770232,993.6,6/3/24
53792,Wild Spokes Works,2172258,768,6/3/24
53793,Swift Riders Works,2178548,479.71,6/3/24
53794,Velvet Motion Systems,2182169,546.4,6/3/24
53795,Urban Cycles Co,2227416,284.62,6/3/24
53796,Trail Cycles Group,2230965,229.17,6/3/24
53797,Iron Peaks LLC,2236936,907.2,6/3/24
53806,Crimson Riders Co,2250794,589.01,6/4/24
53807,Canyon Adventure Corp,2257403,669.77,6/4/24
53811,Canyon Peaks Outdoors,2273506,686.34,6/4/24
53814,Rugged Spokes Co,1805094,0,6/4/24
53817,Summit Motion LLC,2276959,1294.2,6/4/24
53818,Rugged Outfitters Collective,2277258,919.8,6/4/24
53819,Wild Peaks Collective,2285273,610.17,6/4/24
53821,Wild Spokes Systems,2294806,120.2,6/4/24
53823,Summit Outfitters Studio,2301777,655.79,6/4/24
53824,Summit Peaks Works,2336284,665.22,6/4/24
53851,Urban Trails Collective,2358152,2725.8,6/5/24
53860,Iron Riders LLC,2364374,415.9,6/5/24
53862,Summit Motion Systems,2404243,255.31,6/5/24
53866,Velvet Outfitters Corp,2407581,1877.58,6/5/24
53868,Summit Riders Corp,2408467,610.78,6/5/24
53874,Velvet Trails Co,2410623,1645.43,6/5/24
53879,Swift Wheels Works,1020349,210.91,6/5/24
53880,Crimson Peaks Co,2415119,685.77,6/5/24
53884,Summit Spokes Outdoors,2429294,169.77,6/5/24
53886,Velvet Wheels Works,2453122,212.82,6/5/24
53896,Wild Trails LLC,2469428,993.6,6/5/24
53905,Summit Motion Studio,2514947,81.8,6/6/24
53909,Rugged Motion Co,2538643,328.02,6/6/24
53911,Iron Motion Corp,2546736,182.71,6/6/24
53912,Swift Trails LLC,2558399,1282.8,6/6/24
53922,Crimson Cycles Works,2641647,3805.44,6/7/24
53926,Rugged Wheels Systems,2642940,331.17,6/7/24
53931,Urban Outfitters Works,2644414,414.57,6/7/24
53932,Canyon Riders Collective,2657019,369.07,6/7/24
53933,Wild Gear Inc,2667485,445.51,6/7/24
53946,Iron Riders Studio,2689111,707.94,6/8/24
54001,Iron Cycles Collective,2743926,478.06,6/10/24
54004,Wild Riders Studio,2747054,539.75,6/10/24
54008,Urban Spokes Collective,2758156,195.68,6/10/24
54019,Urban Motion Studio,1168169,98.9,6/11/24
54022,Trail Gear Inc,2783242,288.82,6/11/24
54024,Crimson Gear Inc,2791000,40.4,6/11/24
54027,Urban Cycles Systems,2797334,610.61,6/11/24
54034,Wild Motion Works,2798166,586.07,6/12/24
54035,Wild Riders LLC,2811697,551.98,6/12/24
54039,Wild Adventure Works,2812449,296.71,6/12/24
54046,Iron Adventure Collective,2812637,2047.2,6/12/24
54047,Swift Adventure Systems,2813383,2373.6,6/12/24
54048,Trail Cycles Inc,2816943,197.82,6/12/24
54051,Crimson Wheels Outdoors,2888243,4955.63,6/12/24
54063,Canyon Gear Systems,2927478,515.93,6/13/24
54066,Summit Adventure Outdoors,1923765,635.9,6/13/24
54068,Canyon Riders Works,2944453,406.95,6/13/24
54070,Trail Cycles Studio,2951456,296.97,6/13/24
54079,Crimson Wheels Collective,2956409,242.4,6/13/24
54082,Wild Gear Group,2977715,3949.44,6/14/24
54084,Swift Riders Corp,2999334,979.8,6/14/24
54086,Swift Trails Co,3006766,1432.2,6/14/24
54087,Crimson Trails Co,3020084,8538,6/14/24
54088,Crimson Spokes Works,3024987,969.6,6/14/24
54094,Iron Wheels Systems,3029003,1566,6/14/24
54100,Iron Motion Group,3045824,339.46,6/15/24
54108,Trail Spokes Corp,3130500,329.2,6/15/24
54111,Crimson Trails Corp,3134246,521.3,6/15/24
54130,Rugged Adventure Inc,3166888,278.33,6/16/24
54144,Iron Motion Inc,3205973,828,6/17/24
54156,Crimson Spokes Works,3024987,886.8,6/18/24
54159,Swift Spokes Group,3217982,1335.6,6/18/24
54164,Canyon Riders Group,3242140,662.33,6/18/24
54179,Urban Trails LLC,3263137,1507.2,6/19/24
54181,Velvet Gear Studio,3322902,89,6/19/24
54182,Swift Peaks Inc,3333525,205.17,6/19/24
54184,Wild Adventure Group,3336530,688.75,6/19/24
54189,Crimson Spokes Works,3024987,886.8,6/20/24
54193,Trail Peaks Studio,3337304,581.35,6/20/24
54197,Urban Gear Corp,3345635,1023.6,6/20/24
54200,Swift Motion Outdoors,3362851,265.51,6/20/24
54204,Swift Spokes Systems,1144409,87.8,6/21/24
54213,Summit Motion Corp,3382959,429.01,6/21/24
54224,Canyon Spokes Works,1811506,222.42,6/22/24
54244,Canyon Motion LLC,3413366,422.56,6/23/24
54257,Wild Spokes Systems,2294806,400.78,6/24/24
54258,Trail Motion Co,3424254,243.57,6/24/24
54259,Iron Riders LLC,2364374,250.51,6/24/24
54260,Wild Spokes Systems,2294806,0,6/24/24
54262,Urban Gear Collective,3442305,786.6,6/24/24
54263,Crimson Trails Outdoors,3453994,984,6/24/24
54264,Summit Cycles Works,3493113,292.47,6/24/24
54279,Iron Adventure Outdoors,3494987,2511,6/25/24
54280,Canyon Adventure Corp,2257403,231.34,6/25/24
54281,Swift Outfitters Works,3501288,957.74,6/25/24
54284,Trail Motion Group,1163295,357.61,6/25/24
54285,Iron Motion Corp,2546736,0,6/25/24
54298,Swift Gear Group,3621923,284.43,6/26/24
54303,Iron Trails Corp,3627968,625.55,6/26/24
54304,Swift Cycles Outdoors,3629485,765,6/26/24
54308,Wild Wheels Inc,3649845,2242.8,6/26/24
54309,Swift Spokes Systems,1144409,207,6/26/24
54310,Iron Motion Studio,3655951,633.49,6/26/24
54312,Trail Peaks Inc,1950283,507.61,6/26/24
54314,Iron Wheels Outdoors,3665038,172.2,6/26/24
54319,Iron Spokes Outdoors,3721200,257.22,6/26/24
54325,Crimson Spokes Co,3798001,120.2,6/27/24
54327,Wild Cycles Works,3806337,331.17,6/27/24
54328,Velvet Outfitters LLC,3814247,1184.43,6/27/24
54329,Dicks Sporting Good,3825890,6007.08,6/27/24
54330,Iron Gear Group,3837747,434.15,6/27/24
54331,Crimson Peaks Outdoors,3844154,260.02,6/27/24
54335,Summit Spokes LLC,3850328,736.17,6/27/24
54340,Swift Wheels Systems,1354732,120.2,6/27/24
54350,Trail Wheels Group,3884476,145.4,6/28/24
54353,Iron Adventure Outdoors,3494987,2535.75,6/28/24
54354,Summit Riders Studio,3902976,1146.6,6/28/24
54357,Summit Peaks Co,3914228,531.02,6/28/24
54359,Iron Spokes Collective,3915308,165.42,6/28/24
54361,Summit Wheels LLC,2116369,128.4,6/28/24
54369,Wild Peaks Group,3918474,331.27,6/29/24
54375,Summit Trails LLC,3925454,323.62,6/29/24
54376,Urban Cycles Corp,3926657,309.07,6/29/24
54381,Wild Motion Inc,1770232,1490.4,6/29/24
54404,Trail Motion Inc,3966357,1563,7/1/24
54413,Trail Cycles Group,2230965,168.57,7/1/24
54417,Rugged Adventure Works,3979459,818.4,7/1/24
54426,Iron Riders Corp,4004588,757.8,7/2/24
54427,Iron Motion Inc,3205973,547.91,7/2/24
54432,Wild Spokes Systems,2294806,209.97,7/2/24
54433,Swift Motion Works,4005760,167.18,7/2/24
54434,Summit Motion Studio,2514947,1808.4,7/2/24
54440,Canyon Cycles LLC,1200842,2556,7/2/24
54443,Rugged Cycles LLC,4013624,165.57,7/3/24
54446,Swift Motion Outdoors,3362851,218.78,7/3/24
54451,Rugged Riders Corp,4072766,693.35,7/4/24
54460,Swift Motion Corp,4092995,400.66,7/4/24
54462,Urban Cycles Works,4106322,540.73,7/4/24
54471,Iron Trails Group,4115008,600.71,7/5/24
54476,Iron Outfitters Collective,4120635,368.82,7/6/24
54503,Canyon Wheels Works,4123035,433.86,7/8/24
54504,Trail Cycles Co,4137454,964.68,7/8/24
54511,Urban Cycles Group,4148172,1267.2,7/8/24
54521,Iron Riders Studio,2689111,413.38,7/9/24
54522,Crimson Wheels Corp,4186470,87.8,7/9/24
54524,Trail Spokes Studio,4211778,87.8,7/9/24
54528,Summit Wheels Group,4221461,432.45,7/9/24
54529,Iron Adventure Collective,2812637,2011.2,7/9/24
54530,Crimson Wheels Collective,2956409,303,7/9/24
54531,Urban Motion Systems,1121659,594.71,7/9/24
54538,Canyon Cycles LLC,1200842,1656,7/9/24
54544,Rugged Trails Co,4246697,372.06,7/10/24
54548,Swift Gear Inc,4258550,360.06,7/10/24
54549,Wild Spokes LLC,4265321,311.46,7/10/24
54550,Rugged Riders Group,4282092,314.26,7/10/24
54551,Canyon Wheels LLC,4282889,351.6,7/10/24
54553,Urban Wheels Outdoors,4310390,584.97,7/10/24
54563,Urban Adventure Corp,1128931,1612.8,7/11/24
54564,Urban Gear Systems,4342968,387.56,7/11/24
54566,Velvet Motion Outdoors,4344980,854.4,7/11/24
54697,Iron Outfitters LLC,4355571,527.31,7/12/24
54700,Summit Adventure Group,4367417,226.17,7/12/24
54732,Summit Riders Corp,2408467,229.62,7/13/24
54733,Canyon Outfitters Collective,4388007,766.8,7/13/24
54737,Swift Wheels Systems,1354732,140.6,7/13/24
54763,Urban Spokes Works,4394248,2171.6,7/14/24
54764,Canyon Cycles LLC,1200842,735.75,7/14/24
54775,Summit Motion Studio,2514947,185.97,7/15/24
54777,Trail Riders Group,1652483,464.34,7/15/24
54779,Wild Gear Systems,4401290,273.38,7/15/24
54786,Rugged Outfitters Collective,2277258,425.15,7/15/24
54787,Iron Wheels Outdoors,3665038,230.4,7/15/24
54798,Wild Spokes Systems,2294806,477.5,7/16/24
54810,Crimson Spokes Group,4406221,1357.6,7/16/24
54811,Crimson Riders Studio,4453945,236.72,7/16/24
54840,Wild Trails Group,1248479,206.97,7/17/24
54841,Urban Spokes Systems,4483475,612.71,7/17/24
54845,Rugged Peaks Works,4497611,188.48,7/17/24
54853,Rugged Spokes Corp,4500563,5248.73,7/18/24
54855,Wild Wheels Systems,4519309,540.75,7/18/24
54856,Velvet Outfitters Outdoors,4528963,1237.19,7/18/24
54857,Canyon Cycles Co,4563934,356.45,7/18/24
54861,Iron Motion Corp,2546736,921.6,7/18/24
54862,Iron Motion Corp,2546736,2764.8,7/18/24
54870,Iron Motion Corp,2546736,2304,7/18/24
54871,Iron Motion Corp,2546736,1152,7/18/24
54879,Canyon Cycles LLC,1200842,751.2,7/18/24
54885,Summit Outfitters Group,4574224,5234.3,7/19/24
54890,Trail Spokes Studio,4211778,87.8,7/19/24
54892,Rugged Motion Outdoors,1056050,226.77,7/19/24
54893,Velvet Spokes Outdoors,4590236,534.59,7/19/24
54899,Canyon Gear Studio,4615270,290.97,7/20/24
54902,Swift Peaks Group,4617465,798,7/20/24
54910,Urban Cycles LLC,4628342,190.57,7/21/24
54917,Canyon Adventure Inc,4657154,753.6,7/21/24
54932,Swift Riders Corp,2999334,431.46,7/22/24
54936,Rugged Adventure Corp,4667583,159.6,7/22/24
54937,Wild Cycles Group,4678074,413.46,7/22/24
54947,Swift Trails Outdoors,4693433,139.4,7/22/24
54964,Trail Motion Systems,4753113,518.34,7/23/24
54971,Urban Motion Studio,1168169,200.44,7/23/24
54972,Wild Adventure Inc,4766501,648.25,7/23/24
54973,Iron Wheels Corp,4768121,1108.2,7/23/24
54974,Velvet Gear Corp,4771134,372.06,7/23/24
54975,Iron Adventure Group,4779040,332.13,7/23/24
54985,Wild Riders Collective,4788477,10209.6,7/24/24
54990,Velvet Peaks Studio,4795897,286.84,7/24/24
54994,Canyon Cycles Systems,4798612,561.95,7/24/24
54995,Wild Riders Studio,2747054,604.88,7/24/24
55010,Summit Adventure Works,4832370,220.17,7/25/24
55012,Iron Gear Systems,4868331,3939.49,7/25/24
55016,Iron Adventure Collective,2812637,5901.6,7/25/24
55018,Canyon Riders Co,4900249,418.21,7/25/24
55021,Velvet Motion Group,4927799,364.73,7/25/24
55033,Urban Motion LLC,1834662,278.44,7/26/24
55043,Canyon Trails Collective,4951166,266.17,7/27/24
55049,Velvet Motion Group,4927799,164.22,7/27/24
55050,Summit Spokes LLC,3850328,768,7/27/24
55052,Canyon Motion Inc,4990571,575.38,7/27/24
55060,Velvet Outfitters Systems,5018193,252.91,7/27/24
55064,Summit Wheels Inc,5024219,2140.8,7/28/24
55075,Crimson Riders Collective,5024603,714.24,7/29/24
55076,Urban Gear Collective,3442305,2586,7/29/24
55078,Crimson Peaks Group,5057364,101,7/29/24
55079,Urban Adventure Corp,1128931,471.9,7/29/24
55080,Rugged Adventure Group,1586717,586.55,7/29/24
55081,Swift Adventure Outdoors,5057515,161.97,7/29/24
55082,Iron Wheels Corp,4768121,933.6,7/29/24
55083,Summit Outfitters Studio,2301777,1534.8,7/29/24
55084,Canyon Adventure Studio,5062961,396.04,7/29/24
55085,Iron Spokes Outdoors,3721200,454.81,7/29/24
55086,Rugged Peaks Works,4497611,4.1,7/29/24
55090,Canyon Spokes Works,1811506,382.81,7/29/24
55093,Urban Adventure Group,5087978,2726.4,7/30/24
55095,Summit Motion Studio,2514947,344.37,7/30/24
55097,Canyon Adventure Corp,2257403,259.94,7/30/24
55098,Crimson Riders Co,2250794,602.28,7/30/24
55099,Wild Motion Inc,1770232,3758.4,7/30/24
55101,Swift Cycles LLC,5092084,377.38,7/30/24
55103,Iron Cycles Collective,2743926,319.86,7/30/24
55104,Rugged Adventure Inc,3166888,335.98,7/30/24
55105,Iron Trails Outdoors,1317818,210.86,7/30/24
55108,Summit Peaks Group,5095876,3944.7,7/30/24
55109,Urban Wheels Co,5116163,237.17,7/30/24
55111,Wild Spokes Systems,2294806,104,7/30/24
55121,Canyon Wheels Group,5142132,620.93,7/30/24
55161,Trail Cycles Inc,2816943,120.92,7/30/24
55184,Wild Motion Outdoors,1219441,3103.14,7/31/24
55226,Velvet Gear Group,1237289,847.39,7/31/24
55230,Urban Trails LLC,3263137,394.6,7/31/24
55246,Trail Spokes Co,5148022,272.17,7/31/24
55272,Iron Motion Inc,3205973,471.66,7/31/24
55274,Summit Wheels Inc,5024219,451.2,7/31/24
55319,Rugged Cycles Inc,5158369,539.38,8/1/24
55332,Urban Spokes Co,5211095,127.4,8/1/24
55334,Urban Spokes Co,5211095,642.58,8/1/24
55335,Summit Adventure Collective,1668942,377.98,8/1/24
55338,Urban Outfitters Systems,5222072,826.8,8/1/24
55346,Summit Adventure LLC,5238296,430.2,8/1/24
55364,Summit Outfitters Group,4574224,7640.23,8/2/24
55371,Iron Motion Group,3045824,499.78,8/2/24
55384,Crimson Spokes Corp,5246353,185,8/2/24
55385,Summit Wheels Outdoors,5309180,622.18,8/2/24
55390,Trail Gear Co,5326624,243.46,8/2/24
55447,Canyon Cycles LLC,1200842,828,8/4/24
55454,Swift Gear Collective,5357878,838.8,8/5/24
55455,Trail Wheels Inc,5369153,178.4,8/5/24
55459,Wild Outfitters Group,1159124,721.68,8/5/24
55464,Crimson Spokes Studio,5432235,768,8/5/24
55465,Crimson Spokes Studio,5432235,471.86,8/5/24
55488,Summit Wheels Inc,5024219,70.8,8/6/24
55514,Summit Cycles LLC,5450462,221.12,8/6/24
55528,Urban Peaks Inc,1255019,354.71,8/6/24
55534,Crimson Wheels Collective,2956409,228.24,8/6/24
55538,Trail Cycles LLC,5455306,619.88,8/6/24
55577,Crimson Spokes Group,4406221,0,8/7/24
55585,Trail Adventure Corp,5482648,344.38,8/7/24
55594,Canyon Cycles LLC,1200842,95,8/7/24
55598,Canyon Cycles LLC,1200842,993.6,8/7/24
55605,Iron Adventure Collective,2812637,2743.2,8/8/24
55606,Swift Outfitters Works,3501288,1391.37,8/8/24
55607,Iron Spokes Systems,5485681,2356.76,8/8/24
55615,Canyon Trails Collective,4951166,400.01,8/8/24
55618,Rugged Peaks Works,4497611,237.98,8/8/24
55628,Velvet Outfitters Group,5499827,720.45,8/8/24
55642,Urban Peaks Outdoors,5565446,459.64,8/9/24
55644,Rugged Motion Corp,2050453,655.33,8/9/24
55645,Urban Spokes Systems,4483475,185,8/9/24
55646,Canyon Gear Studio,4615270,296.97,8/9/24
55650,Swift Trails LLC,2558399,735.85,8/9/24
55654,Rugged Cycles Studio,5568360,265.94,8/9/24
55655,Iron Riders LLC,2364374,461.46,8/9/24
55664,Crimson Spokes Studio,5432235,23,8/9/24
55666,Crimson Gear Co,5605278,485.71,8/9/24
55700,Rugged Cycles Systems,5628048,390.87,8/11/24
55718,Rugged Cycles LLC,4013624,139.4,8/12/24
55721,Urban Spokes Co,5211095,612.58,8/12/24
55723,Crimson Trails Outdoors,3453994,23,8/12/24
55726,Velvet Spokes LLC,5631924,1018.36,8/12/24
55740,Iron Wheels Outdoors,3665038,165.6,8/12/24
55743,Velvet Cycles Group,5639393,435.11,8/12/24
55761,Velvet Outfitters Co,5658132,705.88,8/13/24
55762,Trail Motion Group,1163295,731.71,8/13/24
55770,Summit Wheels Inc,5024219,295.18,8/14/24
55773,Velvet Peaks Inc,5672217,81.8,8/14/24
55774,Velvet Trails Systems,1946734,500.22,8/14/24
55775,Trail Spokes Outdoors,5701159,484.02,8/14/24
55777,Swift Outfitters Works,3501288,1601.62,8/14/24
55778,Urban Spokes LLC,5702115,322.52,8/14/24
55781,Canyon Outfitters Outdoors,5708442,289.77,8/14/24
55791,Swift Outfitters Outdoors,1465820,813,8/15/24
55792,Canyon Adventure Collective,1012679,635.83,8/15/24
55793,Canyon Wheels Outdoors,1783522,4245.51,8/15/24
55797,Summit Peaks Group,5095876,3173.53,8/15/24
55798,Summit Adventure Systems,5721928,656.52,8/15/24
55808,Summit Adventure Systems,5721928,0,8/15/24
55835,Crimson Peaks LLC,5755565,676.51,8/16/24
55850,Trail Peaks Studio,3337304,764.4,8/17/24
55885,Wild Riders Co,5759274,377.4,8/19/24
55888,Velvet Gear Studio,3322902,272.57,8/19/24
55890,Iron Trails Outdoors,1317818,197,8/19/24
55891,Velvet Adventure Corp,5784795,804,8/19/24
55892,Urban Adventure Corp,1128931,1051.8,8/19/24
55893,Summit Outfitters Studio,2301777,204.2,8/19/24
55897,Rugged Trails Systems,1251423,652.59,8/20/24
55898,Canyon Cycles LLC,1200842,2215.8,8/20/24
55899,Urban Motion Studio,1168169,279.54,8/20/24
55900,Velvet Outfitters LLC,3814247,997.2,8/20/24
55901,Summit Wheels Works,5797524,161.6,8/20/24
55902,Canyon Peaks Collective,5802054,888,8/20/24
55906,Swift Spokes Group,3217982,1372.8,8/20/24
55911,Wild Spokes Systems,2294806,189.8,8/20/24
55912,Summit Gear Works,5820429,572.34,8/20/24
55916,Trail Motion Group,1163295,880.8,8/20/24
55917,Urban Gear Systems,4342968,413.54,8/20/24
55918,Canyon Peaks Systems,1504315,84.2,8/20/24
55921,Trail Adventure Co,5879662,295.46,8/20/24
55928,Rugged Trails Corp,5885479,787.83,8/21/24
55931,Canyon Motion Collective,1398957,424.89,8/21/24
55933,Velvet Riders Corp,5887622,1189.2,8/21/24
55935,Canyon Motion Works,5916738,1194,8/21/24
55936,Crimson Spokes LLC,5967590,240.17,8/21/24
55941,Urban Outfitters LLC,5992954,328.52,8/21/24
